iter	MultiLogloss	Recall:class=0	Recall:class=1	Recall:class=2	Recall:class=3	Recall:class=4	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	Precision:class=0	Precision:class=1	Precision:class=2	Precision:class=3	Precision:class=4
0	0.6348737853	0.02234636872	0	0.03092783505	0.04109589041	0.01369863014	0.04347826087	0	0.05940594059	0.07792207792	0.02702702703	0.8	1	0.75	0.75	1
1	0.5818766361	0.4804469274	0	0.03092783505	0.01369863014	0	0.5611745514	0	0.06	0.02702702703	0	0.6745098039	1	1	1	1
2	0.5368758817	0.5251396648	0	0.01030927835	0.01369863014	0	0.5930599369	0	0.02040816327	0.02702702703	0	0.6811594203	1	1	1	1
3	0.4971120626	0.6229050279	0	0.01030927835	0	0	0.6840490798	0	0.02040816327	0	0	0.7585034014	1	1	1	1
4	0.4655442721	0.6759776536	0	0	0	0	0.7117647059	0	0	0	0	0.751552795	1	1	1	1
5	0.4447807216	0.6983240223	0	0	0	0	0.7163323782	0	0	0	0	0.7352941176	1	1	1	1
6	0.4234325046	0.7709497207	0	0.01030927835	0	0	0.74393531	0	0.02040816327	0	0	0.71875	1	1	1	1
7	0.4050087415	0.7737430168	0	0.0206185567	0	0	0.7396528705	0	0.0404040404	0	0	0.7084398977	1	1	1	1
8	0.3891347081	0.7737430168	0	0	0	0	0.7357237716	0	0	0	0	0.7012658228	1	1	1	1
9	0.3754735552	0.782122905	0	0.01030927835	0	0	0.7557354926	0	0.02040816327	0	0	0.7310704961	1	1	1	1
10	0.3663403751	0.7877094972	0	0.01030927835	0	0	0.7590847914	0	0.02040816327	0	0	0.7324675325	1	1	1	1
11	0.3566044688	0.8072625698	0	0.01030927835	0	0	0.7675962815	0	0.02040816327	0	0	0.7316455696	1	1	1	1
12	0.3509335508	0.8016759777	0	0.01030927835	0	0	0.7653333333	0	0.02040816327	0	0	0.7321428571	1	1	1	1
13	0.3439562924	0.8072625698	0	0.01030927835	0	0	0.7686170213	0	0.02040816327	0	0	0.7335025381	1	1	1	1
14	0.3375484174	0.8072625698	0	0.01030927835	0	0	0.7625329815	0	0.02040816327	0	0	0.7225	1	1	1	1
15	0.3315400509	0.812849162	0	0.01030927835	0	0	0.7708609272	0	0.02040816327	0	0	0.7329974811	1	1	1	1
16	0.3265740411	0.8156424581	0	0.01030927835	0	0	0.7735099338	0	0.02040816327	0	0	0.7355163728	1	1	1	1
17	0.3213953312	0.8184357542	0	0.01030927835	0	0	0.7761589404	0	0.02040816327	0	0	0.7380352645	1	1	1	1
18	0.3163457845	0.8212290503	0	0.01030927835	0	0	0.7767503303	0	0.02040816327	0	0	0.7368421053	1	1	1	1
19	0.3131299258	0.8212290503	0	0.01030927835	0	0	0.7798408488	0	0.02040816327	0	0	0.7424242424	1	1	1	1
20	0.309603322	0.8072625698	0	0.01030927835	0	0	0.7747989276	0	0.02040816327	0	0	0.7448453608	1	1	1	1
21	0.3066738502	0.8016759777	0	0.01030927835	0	0	0.7746288799	0	0.02040816327	0	0	0.7493472585	1	1	1	1
22	0.3039569575	0.8156424581	0	0.01030927835	0	0	0.7838926174	0	0.02040816327	0	0	0.7545219638	1	1	1	1
23	0.3009278084	0.8100558659	0	0.0206185567	0	0	0.7754010695	0	0.0404040404	0	0	0.7435897436	1	1	1	1
24	0.2984910117	0.8184357542	0	0.0206185567	0	0	0.7792553191	0	0.0404040404	0	0	0.7436548223	1	1	1	1
25	0.2961335867	0.8184357542	0	0.0206185567	0	0	0.7802929427	0	0.0404040404	0	0	0.7455470738	1	1	1	1
26	0.2947173123	0.8072625698	0	0.0206185567	0	0	0.7747989276	0	0.0404040404	0	0	0.7448453608	1	1	1	1
27	0.2937970315	0.8072625698	0	0.0206185567	0	0	0.7747989276	0	0.0404040404	0	0	0.7448453608	1	1	1	1
28	0.2918998252	0.8100558659	0	0.0206185567	0	0	0.7795698925	0	0.0404040404	0	0	0.7512953368	1	1	1	1
29	0.2900613136	0.8156424581	0	0.0206185567	0	0	0.7807486631	0	0.0404040404	0	0	0.7487179487	1	1	1	1
30	0.2884371444	0.812849162	0	0.0206185567	0	0	0.7833109017	0	0.0404040404	0	0	0.7558441558	1	1	1	1
31	0.2862633145	0.812849162	0	0.0206185567	0	0	0.7854251012	0	0.0404040404	0	0	0.7597911227	1	1	1	1
32	0.2833941995	0.8212290503	0	0.0206185567	0	0	0.7924528302	0	0.0404040404	0	0	0.765625	1	1	1	1
33	0.2798916098	0.8156424581	0	0.0206185567	0	0	0.7881241565	0	0.0404040404	0	0	0.7624020888	1	1	1	1
34	0.278759186	0.8184357542	0	0.0206185567	0	0	0.7897574124	0	0.0404040404	0	0	0.7630208333	1	1	1	1
35	0.2767331818	0.8156424581	0	0.0206185567	0	0	0.7934782609	0	0.0404040404	0	0	0.7724867725	1	1	1	1
36	0.2746908214	0.8100558659	0	0.0412371134	0	0	0.7891156463	0	0.07920792079	0	0	0.7692307692	1	1	1	1
37	0.2736840399	0.812849162	0	0.0412371134	0	0	0.789687924	0	0.07920792079	0	0	0.7678100264	1	1	1	1
38	0.2721896255	0.8156424581	0	0.0412371134	0	0	0.795640327	0	0.07920792079	0	0	0.7765957447	1	1	1	1
39	0.2713620108	0.8156424581	0	0.0412371134	0.01369863014	0	0.795640327	0	0.07920792079	0.02702702703	0	0.7765957447	1	1	1	1
40	0.2704921042	0.8156424581	0	0.0618556701	0.01369863014	0	0.7967257844	0	0.1165048544	0.02702702703	0	0.7786666667	1	1	1	1
41	0.269685965	0.8156424581	0	0.0618556701	0.01369863014	0	0.7967257844	0	0.1165048544	0.02702702703	0	0.7786666667	1	1	1	1
42	0.2688803599	0.8156424581	0	0.0618556701	0.01369863014	0	0.7978142077	0	0.1165048544	0.02702702703	0	0.7807486631	1	1	1	1
43	0.2675773682	0.812849162	0	0.0618556701	0.01369863014	0	0.7994505495	0	0.1165048544	0.02702702703	0	0.7864864865	1	1	1	1
44	0.2658893271	0.8184357542	0	0.0618556701	0.01369863014	0	0.802739726	0	0.1165048544	0.02702702703	0	0.7876344086	1	1	1	1
45	0.264917683	0.8156424581	0	0.0618556701	0.01369863014	0	0.8021978022	0	0.1165048544	0.02702702703	0	0.7891891892	1	1	1	1
46	0.262656832	0.8184357542	0	0.0618556701	0.01369863014	0	0.8060522696	0	0.1165048544	0.02702702703	0	0.7940379404	1	1	1	1
