iter	Passed	Remaining
0	159	15779
1	168	8257
2	175	5684
3	185	4459
4	193	3673
5	201	3155
6	208	2767
7	216	2492
8	226	2294
9	234	2114
10	242	1960
11	250	1837
12	259	1735
13	265	1633
14	272	1544
15	280	1473
16	289	1411
17	297	1356
18	304	1297
19	311	1244
20	319	1201
21	327	1160
22	334	1119
23	341	1080
24	350	1051
25	359	1022
26	366	990
27	373	960
28	382	935
29	390	910
30	397	884
31	404	859
32	411	836
33	421	818
34	428	796
35	436	775
36	442	753
37	451	736
38	459	718
39	466	699
40	473	681
41	481	665
42	490	649
43	497	633
44	504	616
45	511	600
46	520	586
47	527	571
48	534	556
49	541	541
50	549	528
51	557	514
52	564	500
53	571	487
54	578	473
55	586	461
56	593	447
57	600	435
58	607	422
59	616	411
60	624	399
61	631	387
62	639	375
63	646	363
64	654	352
65	661	340
66	669	329
67	676	318
68	684	307
69	692	296
70	699	285
71	706	274
72	714	264
73	723	254
74	730	243
75	737	232
76	743	222
77	752	212
78	759	201
79	767	191
80	773	181
81	782	171
82	790	161
83	797	151
84	804	141
85	812	132
86	820	122
87	827	112
88	834	103
89	841	93
90	851	84
91	859	74
92	866	65
93	872	55
94	880	46
95	888	37
96	895	27
97	903	18
98	910	9
99	921	0
